NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(mg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vit_B6_(mg),Folic_Acid_(mg),Vit_B12_(mg)
1001,"BUTTER,WITH SALT",15.87,717.0,0.85,81.11,2.11,0.06,0.0,0.06,24.0,0.02,2.0,24.0,24.0,643.0,0.09,0.0,0.0,1.0,0.0,0.005,0.034,0.042,0.003,0.0,0.17
1002,"BUTTER,WHIPPED,WITH SALT",16.72,718.0,0.49,78.3,1.62,2.87,0.0,0.06,23.0,0.05,1.0,24.0,41.0,583.0,0.05,0.01,0.001,0.0,0.0,0.007,0.064,0.022,0.008,0.0,0.07
1003,"BUTTER OIL,ANHYDROUS",0.24,876.0,0.28,99.48,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,5.0,2.0,0.01,0.001,0.0,0.0,0.0,0.001,0.005,0.003,0.001,0.0,0.01
1004,"CHEESE,BLUE",42.41,353.0,21.4,28.74,5.11,2.34,0.0,0.5,528.0,0.31,23.0,387.0,256.0,1146.0,2.66,0.04,0.009,14.5,0.0,0.029,0.382,1.016,0.166,0.0,1.22
1005,"CHEESE,BRICK",41.11,371.0,23.24,29.68,3.18,2.79,0.0,0.51,674.0,0.43,24.0,451.0,136.0,560.0,2.6,0.024,0.012,14.5,0.0,0.014,0.351,0.118,0.065,0.0,1.26
1006,"CHEESE,BRIE",48.42,334.0,20.75,27.68,2.7,0.45,0.0,0.45,184.0,0.5,20.0,188.0,152.0,629.0,2.38,0.019,0.034,14.5,0.0,0.07,0.52,0.38,0.235,0.0,1.65
1007,"CHEESE,CAMEMBERT",51.8,300.0,19.8,24.26,3.68,0.46,0.0,0.46,388.0,0.33,20.0,347.0,187.0,842.0,2.38,0.021,0.038,14.5,0.0,0.028,0.488,0.63,0.227,0.0,1.3
1009,"CHEESE,CHEDDAR",37.02,404.0,22.87,33.31,3.71,3.09,0.0,0.48,710.0,0.14,27.0,455.0,76.0,653.0,3.64,0.03,0.027,28.5,0.0,0.029,0.428,0.059,0.066,0.0,1.1
1011,"CHEESE,COLBY",38.2,394.0,23.76,32.11,3.36,2.57,0.0,0.52,685.0,0.76,26.0,457.0,127.0,604.0,3.07,0.042,0.012,14.5,0.0,0.015,0.375,0.093,0.079,0.0,0.83
1012,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",79.79,98.0,11.12,4.3,1.41,3.38,0.0,2.67,83.0,0.07,8.0,159.0,104.0,364.0,0.4,0.029,0.002,9.7,0.0,0.027,0.163,0.099,0.046,0.0,0.43
1013,"CHEESE,COTTAGE,CRMD,FRUIT",79.64,97.0,10.69,3.85,1.2,4.61,0.2,2.38,53.0,0.16,7.0,113.0,90.0,344.0,0.33,0.04,0.003,7.7,1.4,0.033,0.142,0.15,0.068,0.0,0.53
1014,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",81.01,72.0,10.34,0.29,1.71,6.66,0.0,1.85,86.0,0.15,11.0,190.0,137.0,372.0,0.47,0.03,0.022,9.4,0.0,0.023,0.226,0.144,0.016,0.0,0.46
1015,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",81.24,81.0,10.45,2.27,1.27,4.76,0.0,4.0,111.0,0.13,9.0,150.0,125.0,308.0,0.51,0.033,0.015,11.9,0.0,0.02,0.251,0.103,0.057,0.0,0.47
1016,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",82.48,72.0,12.39,1.02,1.39,2.72,0.0,2.72,61.0,0.14,5.0,134.0,86.0,406.0,0.38,0.028,0.003,9.0,0.0,0.021,0.165,0.128,0.068,0.0,0.63
1017,"CHEESE,CREAM",52.62,350.0,6.15,34.44,1.27,5.52,0.0,3.76,97.0,0.11,9.0,107.0,132.0,314.0,0.5,0.018,0.011,8.6,0.0,0.023,0.23,0.091,0.056,0.0,0.22
1018,"CHEESE,EDAM",41.56,357.0,24.99,27.8,4.22,1.43,0.0,1.43,731.0,0.44,30.0,536.0,188.0,812.0,3.75,0.036,0.011,14.5,0.0,0.037,0.389,0.082,0.076,0.0,1.54
1019,"CHEESE,FETA",55.22,264.0,14.21,21.28,5.2,4.09,0.0,4.09,493.0,0.65,19.0,337.0,62.0,917.0,2.88,0.032,0.028,15.0,0.0,0.154,0.844,0.991,0.424,0.0,1.69
1020,"CHEESE,FONTINA",37.92,389.0,25.6,31.14,3.79,1.55,0.0,1.55,550.0,0.23,14.0,346.0,64.0,800.0,3.5,0.025,0.014,14.5,0.0,0.021,0.204,0.15,0.083,0.0,1.68
1022,"CHEESE,GOUDA",41.46,356.0,24.94,27.44,3.94,2.22,0.0,2.22,700.0,0.24,29.0,546.0,121.0,819.0,3.9,0.036,0.011,14.5,0.0,0.03,0.334,0.063,0.08,0.0,1.54
1023,"CHEESE,GRUYERE",33.19,413.0,29.81,32.34,4.3,0.36,0.0,0.36,1011.0,0.17,36.0,605.0,81.0,714.0,3.9,0.032,0.017,14.5,0.0,0.06,0.279,0.106,0.081,0.0,1.6
1024,"CHEESE,LIMBURGER",48.42,327.0,20.05,27.25,3.79,0.49,0.0,0.49,497.0,0.13,21.0,393.0,128.0,800.0,2.1,0.021,0.038,14.5,0.0,0.08,0.503,0.158,0.086,0.0,1.04
1025,"CHEESE,MONTEREY",41.01,373.0,24.48,30.28,3.55,0.68,0.0,0.5,746.0,0.72,27.0,444.0,81.0,600.0,3.0,0.032,0.011,14.5,0.0,0.015,0.39,0.093,0.079,0.0,0.83
1026,"CHEESE,MOZZARELLA,WHL MILK",50.01,300.0,22.17,22.35,3.28,2.19,0.0,1.03,505.0,0.44,20.0,354.0,76.0,627.0,2.92,0.011,0.03,17.0,0.0,0.03,0.283,0.104,0.037,0.0,2.28
1027,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",48.38,318.0,21.6,24.64,2.91,2.47,0.0,1.01,575.0,0.2,21.0,412.0,75.0,710.0,2.46,0.022,0.009,16.1,0.0,0.016,0.27,0.094,0.062,0.0,0.73
1028,"CHEESE,MOZZARELLA,PART SKIM MILK",53.78,254.0,24.26,15.92,3.27,2.77,0.0,1.13,782.0,0.22,23.0,463.0,84.0,619.0,2.76,0.025,0.01,14.4,0.0,0.018,0.303,0.105,0.07,0.0,0.82
1029,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM",47.07,295.0,23.75,19.78,3.83,5.58,0.0,1.9,697.0,0.22,27.0,548.0,188.0,666.0,3.62,0.033,0.039,27.6,0.0,0.024,0.353,0.111,0.1,0.0,1.68
1030,"CHEESE,MUENSTER",41.77,368.0,23.41,30.04,3.66,1.12,0.0,1.12,717.0,0.41,27.0,468.0,134.0,628.0,2.81,0.031,0.008,14.5,0.0,0.013,0.32,0.103,0.056,0.0,1.47
1031,"CHEESE,NEUFCHATEL",63.11,253.0,9.15,22.78,1.37,3.59,0.0,3.19,117.0,0.13,10.0,138.0,152.0,334.0,0.82,0.027,0.011,3.0,0.0,0.022,0.155,0.21,0.041,0.0,0.3
1032,"CHEESE,PARMESAN,GRATED",22.65,420.0,28.42,27.84,7.18,13.91,0.0,0.07,853.0,0.49,34.0,627.0,180.0,1804.0,4.2,0.04,0.071,34.4,0.0,0.026,0.358,0.08,0.081,0.0,1.4
1033,"CHEESE,PARMESAN,HARD",29.16,392.0,35.75,25.83,6.04,3.22,0.0,0.8,1184.0,0.82,44.0,694.0,92.0,1376.0,2.75,0.032,0.02,22.5,0.0,0.039,0.332,0.271,0.091,0.0,1.2
1034,"CHEESE,PORT DE SALUT",45.45,352.0,23.78,28.2,2.0,0.57,0.0,0.57,650.0,0.43,24.0,360.0,136.0,534.0,2.6,0.022,0.011,14.5,0.0,0.014,0.24,0.06,0.053,0.0,1.5
1035,"CHEESE,PROVOLONE",40.95,351.0,25.58,26.62,4.71,2.14,0.0,0.56,756.0,0.52,28.0,496.0,138.0,876.0,3.23,0.026,0.01,14.5,0.0,0.019,0.321,0.156,0.073,0.0,1.46
1036,"CHEESE,RICOTTA,WHOLE MILK",71.7,174.0,11.26,12.98,1.02,3.04,0.0,0.27,207.0,0.38,11.0,158.0,105.0,84.0,1.16,0.021,0.006,14.5,0.0,0.013,0.195,0.104,0.043,0.0,0.34
1037,"CHEESE,RICOTTA,PART SKIM MILK",74.41,138.0,11.39,7.91,1.15,5.14,0.0,0.31,272.0,0.44,15.0,183.0,125.0,99.0,1.34,0.034,0.01,16.7,0.0,0.021,0.185,0.078,0.02,0.0,0.29
